OBJECTID,Station_Num,Station_Loc
1,Station 1,1801 Q St
2,Station 2,1545 N 33rd St
3,Station 4,5600 S 27th St
4,Station 5,3640 Touzalin Ave
5,Station 6,5051 S 48th St
6,Station 7,1345 S Cotner Blvd
7,Station 8,2760 S 17th St
8,Station 10,1440 Adams St
9,Station 13,1700 S Coddington Ave
10,Station 14,5435 NW 1st St
11,Station 12,2201 S 84th St
12,Station 9,901 N Cotner Blvd
13,Station 11,3401 NW Luke St
14,Station 3,2nd & N St
